tipo,ID,CIPI,nombre,desc
ESTACION,87347,AB12,CB_Escuela_De_Aviacion_Militar_Aero,Escuela De Aviacion Militar Aero
ESTACION,87356,AB13,SF_Sunchales,Sunchales
ESTACION,87360,AB14,SF_Rafaela,Rafaela
ESTACION,87405,AB15,MZ_Uspallata,Uspallata
ESTACION,87412,AB16,MZ_San_Carlos,San Carlos
ESTACION,87570,AB17,BA_Campo_De_Mayo,Campo De Mayo
ESTACION,87573,AB18,BA_Merlo,Merlo
ESTACION,87616,AB19,LP_Victorica,Victorica
ESTACION,87736,AB20,RN_Rio_Colorado,Rio Colorado
ESTACION,87784,AB21,RN_San_Antonio_Oeste_Aero,San Antonio Oeste Aero
ESTACION,87814,AB22,CH_Paso_De_Indios,Paso De Indios
ESTACION,87880,AB23,SC_Gobernador_Gregores_Aero,Gobernador Gregores Aero
ESTACION,87896,AB24,SC_Puerto_Deseado_Aero,Puerto Deseado Aero
ESTACION,87909,AB25,SC_San_Julian_Aero,San Julian Aero
ESTACION,87912,AB26,SC_Puerto_Santa_Cruz,Puerto Santa Cruz
ESTACION,88968,AB27,BASE_ORCADAS,Orcadas
ESTACION,88889,AB28,ISLAS_MALVINAS,Malvinas
ESTACION,88963,AB29,BASE_ESPERANZA,Esperanza
ESTACION,89034,AB30,BASE_BELGRANO_II,Belgrano II
ESTACION,89053,AB31,BASE_CARLINI,Carlini
ESTACION,89055,AB32,BASE_MARAMBIO,Marambio
ESTACION,89066,AB33,BASE_SAN_MARTIN,San Martin
PIMET,713,AB34,ISCHIGUALASTO,Ischigualasto
PIMET,714,AB35,CAUCETE,Caucete
PIMET,715,AB36,CALINGASTA,Calingasta
PIMET,716,AA89,SAN_JUAN,San Juan
PIMET,717,AA88,JACHAL,Jachal
PIMET,759,AA01,AZUL,Azul
PIMET,760,AB06,BAHIA_BLANCA,Bahia Blanca
PIMET,761,AB37,CAÑUELAS,Cañuelas
PIMET,762,AA15,CABA,Caba
PIMET,763,AB38,CONURBANO_NORTE,Conurbano Norte
PIMET,764,AB39,CONURBANO_OESTE,Conurbano Oeste
PIMET,765,AB40,CONURBANO_SUDOESTE,Conurbano Sudoeste
PIMET,766,AB41,CONURBANO_SUR,Conurbano Sur
PIMET,767,AA06,DOLORES,Dolores
PIMET,768,AB42,GRAL_VILLEGAS,Gral Villegas
PIMET,769,AA08,JUNIN,Junin
PIMET,770,AA09,LA_PLATA,La Plata
PIMET,771,AA10,LAS_FLORES,Las Flores
PIMET,772,AB43,LUJAN,Lujan
PIMET,773,AB44,MAIPU,Maipu
PIMET,774,AA11,MAR_DEL_PLATA,Mar Del Plata
PIMET,775,AB45,NECOCHEA,Necochea
PIMET,776,AA14,NUEVE_DE_JULIO,Nueve De Julio
PIMET,777,AA16,OLAVARRIA,Olavarria
PIMET,778,AA18,PEHUAJO,Pehuajo
PIMET,779,AA19,PIGUE,Pigue
PIMET,780,AA20,PUNTA_INDIO,Punta Indio
