Tipo,ID,Nombre,Descripcion,Lat,Lon,Altura
ESTACION,87022,SA_Tartagal,Tartagal,-22.62,-63.8,500.0
ESTACION,87852,SC_Perito_Moreno,Perito Moreno,-46.54,-70.98,414.0
ESTACION,87925,SC_Rio_Gallegos,Rio Gallegos,-51.61,-69.31,6.0
ESTACION,87127,SE_Rio_Hondo,Rio Hondo,-27.51,-64.93,279.0
ESTACION,87129,SE_Sgo_del_Estero,Sgo Del Estero,-27.75,-64.3,202.0
ESTACION,87257,SF_Ceres,Ceres,-29.88,-61.94,89.0
ESTACION,87470,SF_El_Trebol,El Trebol,-32.19,-61.71,105.0
ESTACION,87270,SF_Reconquista,Reconquista,-29.21,-59.69,49.0
ESTACION,87480,SF_Rosario,Rosario,-32.91,-60.78,25.0
ESTACION,87371,SF_Santa_Fe,Santa Fe,-31.71,-60.81,17.0
ESTACION,87468,SF_Venado_Tuerto,Venado Tuerto,-33.68,-61.96,112.0
ESTACION,87305,SJ_Jachal,Jachal,-30.23,-68.74,1178.0
ESTACION,87311,SJ_San_Juan,San Juan,-31.57,-68.42,594.0
ESTACION,87436,SL_San_Luis_Aero,San Luis Aero,-33.27,-66.35,737.0
ESTACION,87444,SL_Sta_Rosa_Conlara,Sta Rosa Conlara,-32.38,-65.18,616.0
ESTACION,87448,SL_Villa_Reynolds,Villa Reynolds,-33.72,-65.37,494.0
ESTACION,87934,TF_Rio_Grande,Rio Grande,-53.78,-67.76,9.0
ESTACION,87938,TF_Ushuaia,Ushuaia,-54.84,-68.3,139.0
ESTACION,87121,TM_Tucuman,Tucuman,-26.84,-65.11,449.0
ESTACION,87750,BA_Bahia_Blanca,Bahia Blanca,-38.71,-62.16,76.0
ESTACION,87509,MZ_San_Rafael,San Rafael,-34.59,-68.4,765.0
ESTACION,87791,RN_Viedma,Viedma,-40.86,-63.01,5.0
ESTACION,87904,SC_Calafate,Calafate,-50.28,-72.05,184.0
ESTACION,87828,CH_Trelew,Trelew,-43.21,-65.28,34.0
ESTACION,87050,SA_Metan,Metan,-25.48,-64.8,855.0
ESTACION,87347,CB_Escuela_De_Aviacion_Militar_Aero,Escuela De Aviacion Militar Aero,-31.44,-64.28,502.0
ESTACION,87356,SF_Sunchales,Sunchales,-30.97,-61.33,92.0
ESTACION,87360,SF_Rafaela,Rafaela,-31.27,-61.5,99.0
ESTACION,87405,MZ_Uspallata,Uspallata,-32.59,-69.34,1891.0
ESTACION,87412,MZ_San_Carlos,San Carlos,-33.77,-69.04,940.0
ESTACION,87570,BA_Campo_De_Mayo,Campo De Mayo,-34.53,-58.67,26.0
ESTACION,87573,BA_Merlo,Merlo,-34.68,-58.73,36.0
ESTACION,87616,LP_Victorica,Victorica,-36.22,-65.43,312.0
ESTACION,87736,RN_Rio_Colorado,Rio Colorado,-38.99,-64.09,79.0
ESTACION,87784,RN_San_Antonio_Oeste_Aero,San Antonio Oeste Aero,-40.76,-65.03,20.0
ESTACION,87814,CH_Paso_De_Indios,Paso De Indios,-43.86,-69.05,460.0
ESTACION,87880,SC_Gobernador_Gregores_Aero,Gobernador Gregores Aero,-48.78,-70.16,358.0
ESTACION,87896,SC_Puerto_Deseado_Aero,Puerto Deseado Aero,-47.73,-65.91,81.0
ESTACION,87909,SC_San_Julian_Aero,San Julian Aero,-49.31,-67.8,58.0
ESTACION,87912,SC_Puerto_Santa_Cruz,Puerto Santa Cruz,-50.02,-68.57,111.0
ESTACION,88968,BASE_ORCADAS,Orcadas,-60.74,-44.74,8.0
ESTACION,88889,ISLAS_MALVINAS,Malvinas,-51.82,-58.45,74.0
ESTACION,88963,BASE_ESPERANZA,Esperanza,-63.4,-57,24.0
ESTACION,89034,BASE_BELGRANO_II,Belgrano II,-77.87,-34.63,256.0
ESTACION,89053,BASE_CARLINI,Carlini,-62.24,-58.66,11.0
ESTACION,89055,BASE_MARAMBIO,Marambio,-64.24,-56.63,208.0
ESTACION,89066,BASE_SAN_MARTIN,San Martin,-68.13,-67.1,7.0
PIMET,713,ISCHIGUALASTO,Ischigualasto,-30.15,-68.04,
PIMET,714,CAUCETE,Caucete,-31.65,-68.28,
PIMET,715,CALINGASTA,Calingasta,-31.33,-69.42,
PIMET,716,SAN_JUAN,San Juan,-31.57,-68.42,
PIMET,717,JACHAL,Jachal,-30.23,-68.74,
PIMET,759,AZUL,Azul,-36.83,-59.89,
PIMET,760,BAHIA_BLANCA,Bahia Blanca,-38.71,-62.16,
PIMET,761,CAÑUELAS,Cañuelas,-35.05,-58.76,
PIMET,762,CABA,Caba,-34.59,-58.48,
PIMET,763,CONURBANO_NORTE,Conurbano Norte,-34.45,-58.58,
PIMET,764,CONURBANO_OESTE,Conurbano Oeste,-34.55,-58.82,
PIMET,765,CONURBANO_SUDOESTE,Conurbano Sudoeste,-34.82,-58.53,
PIMET,766,CONURBANO_SUR,Conurbano Sur,-34.77,-58.4,
PIMET,767,DOLORES,Dolores,-36.32,-57.72,
PIMET,768,GRAL_VILLEGAS,Gral Villegas,-35.03,-63.02,
PIMET,769,JUNIN,Junin,-34.55,-60.93,
PIMET,770,LA_PLATA,La Plata,-34.97,-57.9,
PIMET,771,LAS_FLORES,Las Flores,-36.04,-59.14,
PIMET,772,LUJAN,Lujan,-34.57,-59.1,
PIMET,773,MAIPU,Maipu,-36.87,-57.87,
PIMET,774,MAR_DEL_PLATA,Mar Del Plata,-37.93,-57.58,
PIMET,775,NECOCHEA,Necochea,-38.55,-58.75,
PIMET,776,NUEVE_DE_JULIO,Nueve De Julio,-35.44,-60.88,
PIMET,777,OLAVARRIA,Olavarria,-36.89,-60.22,
PIMET,778,PEHUAJO,Pehuajo,-35.84,-61.86,
PIMET,779,PIGUE,Pigue,-37.61,-62.39,
PIMET,780,PUNTA_INDIO,Punta Indio,-35.35,-57.29,
PIMET,781,SAN_NICOLAS_DE_LOS_ARROYOS,San Nicolas De Los Arroyos,-33.33,-60.22,
PIMET,783,SANTA_TERESITA,Santa Teresita,-36.55,-56.69,
