LP_25_de_Mayo,-37.78,-67.73,80091,546,439
LP_Bernasconi,-37.91,-63.72,80092,543,527
LP_Lihuel_Calel,-38.34,-64.68,80093,531,506
LP_Victorica,-36.22,-65.4,80094,590,490
BA_Canuelas,-35.02,-58.76,80095,619,641
BA_Patagones,-40.77,-62.97,80096,463,542
BA_Lujan,-34.57,-59.1,80097,632,634
BA_Maipu,-36.85,-57.85,80098,567,658
BA_Necochea,-38.55,-58.75,80099,521,635
BA_Quilmes,-34.74,-58.25,80100,626,653
BA_San_Nicolas,-33.32,-60.22,80101,668,610
BA_Sierra_Ventana,-38.12,-61.8,80102,536,569
BA_Gral_Villegas,-35.02,-62.98,80103,623,545
BA_Zarate,-34.1,-59.04,80104,645,636
